ID;Dossier von;Dossier bis;Produkt
id02437;2019-04;2019-06;Sozialhilfeleistung
id02437;2021-02;2021-03;Sozialhilfeleistung
id02553;2015-01;2016-05;Sozialhilfeleistung
id04123;2017-09;2017-11;Sozialhilfeleistung
id01804;2015-08;2016-02;Sozialhilfeleistung
id00119;2015-12;2017-03;Sozialhilfeleistung
id04797;2016-03;2019-06;Sozialhilfeleistung
id03665;2016-03;2017-12;Sozialhilfeleistung
id00616;2015-12;2017-12;Sozialhilfeleistung
id02758;2021-07;2021-12;Sozialhilfeleistung
id01765;2017-04;2018-05;Sozialhilfeleistung
id01416;2017-04;2019-06;Sozialhilfeleistung
id00829;2016-05;2016-12;Sozialhilfeleistung
id00180;2017-01;2017-03;Sozialhilfeleistung
id00879;2015-09;2016-06;Sozialhilfeleistung
id04572;2015-10;2017-02;Sozialhilfeleistung
id02033;2018-05;2018-08;Sozialhilfeleistung
id02033;2018-08;2020-01;Sozialhilfeleistung
id02484;2019-02;2019-06;Sozialhilfeleistung
id01731;2017-09;2017-09;Sozialhilfeleistung
id02541;2018-02;2018-09;Sozialhilfeleistung
id02541;2021-12;2021-12;Sozialhilfeleistung
id04098;2021-03;2021-04;Sozialhilfeleistung
id00908;2015-09;2016-04;Sozialhilfeleistung
id01988;2015-12;2018-06;Sozialhilfeleistung
id00306;2016-07;2016-10;Sozialhilfeleistung
id01480;2016-01;2016-11;Sozialhilfeleistung
id02775;2016-05;2016-08;Sozialhilfeleistung
id02775;2016-10;2021-09;Sozialhilfeleistung
id01949;2022-01;2022-03;Sozialhilfeleistung
id01928;2016-08;2016-12;Sozialhilfeleistung
id03092;2018-01;2018-04;Sozialhilfeleistung
id03092;2018-04;2019-06;Sozialhilfeleistung
id02409;2018-02;2019-06;Sozialhilfeleistung
id04508;2019-03;2019-09;Sozialhilfeleistung
id00282;2020-01;2021-12;Sozialhilfeleistung
id01942;2018-09;2019-05;Rückerstattung
id01606;2016-01;2016-10;Sozialhilfeleistung
id01606;2016-11;2017-04;Sozialhilfeleistung
id01606;2017-05;2017-05;Sozialhilfeleistung
id03790;2017-04;2021-12;Sozialhilfeleistung
id02372;2016-03;2017-12;Sozialhilfeleistung
id02372;2018-01;2019-01;Sozialhilfeleistung
id03139;2015-11;2016-10;Sozialhilfeleistung
id04689;2022-01;;Sozialhilfeleistung
id03969;2015-10;2016-06;Sozialhilfeleistung
id03969;2018-02;2018-05;Sozialhilfeleistung
id00902;2015-10;2016-01;Sozialhilfeleistung
id00902;2016-01;2016-04;Sozialhilfeleistung
id00902;2017-01;2017-04;Sozialhilfeleistung
id00522;2016-01;2016-04;Sozialhilfeleistung
id00522;2016-04;2017-03;Sozialhilfeleistung
id02511;2015-10;2016-02;Sozialhilfeleistung
id00143;2016-02;2018-02;Sozialhilfeleistung
id00143;2018-11;2019-01;Sozialhilfeleistung
id00113;2015-12;2016-02;Sozialhilfeleistung
id00113;2016-02;2016-09;Sozialhilfeleistung
id01306;2016-05;2016-08;Sozialhilfeleistung
id01919;2016-02;2020-12;Sozialhilfeleistung
id01919;2022-01;;Sozialhilfeleistung
id03998;2018-01;2018-05;Sozialhilfeleistung
id03998;2018-06;2018-12;Sozialhilfeleistung
id03998;2019-11;2020-01;Sozialhilfeleistung
id03998;2022-01;;Sozialhilfeleistung
id01238;2016-01;2018-02;Sozialhilfeleistung
id01452;2017-02;2017-04;Sozialhilfeleistung
id02592;2015-12;2016-01;Sozialhilfeleistung
id04343;2015-12;2016-03;Sozialhilfeleistung
id02278;2016-04;2016-05;Sozialhilfeleistung
id01831;2016-04;2017-11;Sozialhilfeleistung
id01831;2017-12;2019-06;Sozialhilfeleistung
id01780;2017-10;2018-02;Sozialhilfeleistung
id02128;2016-04;2016-04;Sozialhilfeleistung
id00715;2016-01;2016-03;Sozialhilfeleistung
id03948;2015-12;2016-07;Sozialhilfeleistung
id03948;2020-03;2020-09;Sozialhilfeleistung
id01159;2016-01;2016-07;Sozialhilfeleistung
id01955;2015-12;2016-07;Sozialhilfeleistung
id00677;2022-01;;Sozialhilfeleistung
id02334;2018-02;2018-06;Sozialhilfeleistung
id02334;2018-06;2019-02;Sozialhilfeleistung
id02087;2016-10;2021-12;Rückerstattung
id00051;2015-12;2016-08;Sozialhilfeleistung
id00129;2020-10;2021-12;Sozialhilfeleistung
id02838;2017-09;2018-03;Sozialhilfeleistung
id02838;2020-06;2021-01;Sozialhilfeleistung
id03405;2016-03;2017-03;Sozialhilfeleistung
id03469;2016-08;2017-11;Sozialhilfeleistung
id01921;2016-05;2016-06;Sozialhilfeleistung
id01907;2016-01;2016-04;Sozialhilfeleistung
id01907;2016-05;2016-08;Sozialhilfeleistung
id00141;2015-12;2018-07;Sozialhilfeleistung
id01779;2016-02;2017-08;Sozialhilfeleistung
id02577;2016-01;2016-03;Sozialhilfeleistung
id00515;2016-01;2016-03;Sozialhilfeleistung
id04680;2016-01;2016-03;Sozialhilfeleistung
id04680;2016-04;2016-12;Sozialhilfeleistung
id03460;2016-02;2016-06;Sozialhilfeleistung
id03460;2018-01;2018-04;Sozialhilfeleistung
id03460;2020-07;2020-11;Sozialhilfeleistung
id03460;2022-01;;Rückerstattung
id01481;2016-01;2016-05;Sozialhilfeleistung
id02296;2021-12;2021-12;Sozialhilfeleistung
id00775;2018-12;2019-02;Sozialhilfeleistung
id02984;2018-03;2019-02;Sozialhilfeleistung
id00893;2019-03;2019-09;Sozialhilfeleistung
id01531;2016-03;2016-09;Sozialhilfeleistung
id00223;2016-01;2016-10;Sozialhilfeleistung
id00223;2017-01;2017-04;Sozialhilfeleistung
id02898;2016-01;2016-01;Sozialhilfeleistung
id01107;2016-01;2016-09;Sozialhilfeleistung
id04514;2016-03;2016-04;Sozialhilfeleistung
id03524;2016-01;2016-10;Sozialhilfeleistung
id04725;2016-06;2019-11;Sozialhilfeleistung
id00762;2017-01;2020-03;Sozialhilfeleistung
id01005;2016-02;2016-03;Sozialhilfeleistung
id01005;2016-05;2017-11;Sozialhilfeleistung
id04323;2016-02;2016-12;Sozialhilfeleistung
id01229;2016-03;2016-04;Sozialhilfeleistung
id00553;2016-02;2016-06;Sozialhilfeleistung
id00553;2017-07;2017-12;Sozialhilfeleistung
id02637;2017-12;2018-06;Sozialhilfeleistung
id02637;2018-06;2021-11;Sozialhilfeleistung
id02423;2022-01;;Sozialhilfeleistung
id04837;2016-05;2018-01;Sozialhilfeleistung
id04837;2018-04;2018-07;Sozialhilfeleistung
id04837;2021-01;2021-03;Sozialhilfeleistung
id04772;2016-05;2016-07;Sozialhilfeleistung
id04312;2016-02;2016-11;Sozialhilfeleistung
id00731;2017-01;2017-04;Sozialhilfeleistung
id01082;2018-10;2020-01;Rückerstattung
id03997;2016-05;2016-05;Sozialhilfeleistung
id03997;2016-06;2016-12;Sozialhilfeleistung
id02145;2016-06;2016-10;Sozialhilfeleistung
id02145;2017-09;2018-06;Sozialhilfeleistung
id00100;2016-04;2016-05;Sozialhilfeleistung
id04393;2016-03;2016-09;Sozialhilfeleistung
id04393;2017-09;2018-07;Sozialhilfeleistung
id04936;2018-11;2019-02;Sozialhilfeleistung
id04444;2016-03;2016-06;Sozialhilfeleistung
id00735;2018-01;2019-06;Sozialhilfeleistung
id00735;2019-07;2019-12;Sozialhilfeleistung
id02730;2016-03;2016-06;Sozialhilfeleistung
id02730;2016-06;2017-01;Sozialhilfeleistung
id04213;2016-04;2016-04;Sozialhilfeleistung
id01767;2016-05;2016-07;Sozialhilfeleistung
id00299;2016-11;2017-01;Sozialhilfeleistung
id00914;2017-09;2017-12;Sozialhilfeleistung
id02089;2017-04;2017-06;Sozialhilfeleistung
id01431;2018-05;2019-02;Sozialhilfeleistung
id00062;2016-05;2017-05;Sozialhilfeleistung
id00062;2017-05;2017-12;Sozialhilfeleistung
id00062;2020-11;2021-12;Sozialhilfeleistung
id02407;2016-04;2016-06;Sozialhilfeleistung
id00019;2017-04;2017-10;Sozialhilfeleistung
id02452;2016-08;2017-04;Sozialhilfeleistung
id03755;2017-04;2019-10;Sozialhilfeleistung
id02531;2016-11;2017-04;Sozialhilfeleistung
id02531;2020-03;2020-04;Sozialhilfeleistung
id03869;2016-09;2016-11;Sozialhilfeleistung
id03869;2017-05;2018-06;Sozialhilfeleistung
id01354;2016-04;2016-07;Sozialhilfeleistung
id03538;2016-04;2016-07;Sozialhilfeleistung
id02556;2016-04;2016-07;Sozialhilfeleistung
id02072;2016-09;2016-10;Sozialhilfeleistung
id02072;2016-11;2018-02;Sozialhilfeleistung
id03452;2017-04;2019-01;Sozialhilfeleistung
id03452;2019-01;2020-07;Sozialhilfeleistung
id04132;2016-05;2017-07;Sozialhilfeleistung
id04132;2022-01;;Sozialhilfeleistung
id04314;2016-09;2017-01;Sozialhilfeleistung
id03643;2018-01;2018-11;Sozialhilfeleistung
id04241;2016-05;2016-06;Sozialhilfeleistung
id04501;2016-05;2016-09;Sozialhilfeleistung
id04501;2018-01;2021-12;Sozialhilfeleistung
id04685;2016-09;2017-05;Sozialhilfeleistung
id03614;2016-09;2017-04;Sozialhilfeleistung
id01374;2016-09;2017-04;Sozialhilfeleistung
id01374;2017-04;2019-01;Sozialhilfeleistung
id04126;2018-07;2019-06;Sozialhilfeleistung
id04124;2016-05;2016-10;Sozialhilfeleistung
id04124;2022-03;;Sozialhilfeleistung
id03860;2016-05;2016-08;Sozialhilfeleistung
id04928;2016-10;2017-01;Sozialhilfeleistung
id04928;2017-04;2017-12;Sozialhilfeleistung
id01833;2017-02;2018-02;Sozialhilfeleistung
id00482;2016-05;2016-12;Sozialhilfeleistung
id00594;2016-06;2016-07;Sozialhilfeleistung
id00473;2020-04;2020-09;Sozialhilfeleistung
id02301;2016-05;2016-07;Sozialhilfeleistung
id02649;2016-08;2016-09;Sozialhilfeleistung
id00092;2018-08;2019-08;Sozialhilfeleistung
id03315;2016-05;2017-01;Sozialhilfeleistung
id03315;2017-01;2019-06;Sozialhilfeleistung
id03258;2016-05;2016-07;Sozialhilfeleistung
id04414;2019-03;2021-12;Rückerstattung
id01164;2020-05;2020-07;Sozialhilfeleistung
id01164;2020-08;2021-12;Sozialhilfeleistung
id03327;2017-01;2018-02;Sozialhilfeleistung
id02090;2016-09;2017-05;Sozialhilfeleistung
id02090;2022-01;2022-08;Sozialhilfeleistung
id04069;2016-06;2017-04;Sozialhilfeleistung
id04069;2019-02;2019-10;Sozialhilfeleistung
id00700;2016-06;2016-10;Sozialhilfeleistung
id02897;2016-04;2016-10;Sozialhilfeleistung
id00918;2018-01;2018-05;Sozialhilfeleistung
id00479;2016-07;2016-09;Sozialhilfeleistung
id00479;2016-09;2018-12;Sozialhilfeleistung
id00479;2022-01;;Sozialhilfeleistung
id04899;2016-07;2016-09;Sozialhilfeleistung
id02455;2016-11;2017-11;Sozialhilfeleistung
id03561;2017-01;2017-01;Sozialhilfeleistung
id03561;2019-07;2020-02;Sozialhilfeleistung
id00172;2016-06;2016-06;Sozialhilfeleistung
id00172;2016-09;2016-10;Sozialhilfeleistung
id01766;2016-06;2016-09;Sozialhilfeleistung
id01177;2019-07;2019-07;Sozialhilfeleistung
id01253;2016-07;2016-10;Sozialhilfeleistung
id02274;2017-07;2017-08;Sozialhilfeleistung
id02274;2018-01;2018-01;Sozialhilfeleistung
id02697;2016-07;2017-03;Sozialhilfeleistung
id02697;2019-11;2020-02;Sozialhilfeleistung
id04371;2016-10;2017-01;Sozialhilfeleistung
id03671;2017-04;2017-04;Sozialhilfeleistung
id03671;2017-08;2017-11;Sozialhilfeleistung
id04763;2018-07;2021-08;Sozialhilfeleistung
id00769;2016-08;2017-05;Sozialhilfeleistung
id04247;2018-02;2018-03;Sozialhilfeleistung
id04699;2019-09;2021-12;Sozialhilfeleistung
id03821;2016-08;2016-09;Sozialhilfeleistung
id04688;2017-10;2017-10;Sozialhilfeleistung
id00906;2016-10;2016-10;Sozialhilfeleistung
id00906;2020-04;2021-08;Sozialhilfeleistung
id02069;2016-07;2017-04;Sozialhilfeleistung
id01316;2017-07;2018-01;Sozialhilfeleistung
id03511;2016-09;2016-12;Sozialhilfeleistung
id03511;2016-12;2017-07;Sozialhilfeleistung
id03511;2017-07;2018-10;Sozialhilfeleistung
id02557;2016-11;2017-09;Sozialhilfeleistung
id02557;2020-01;2021-12;Sozialhilfeleistung
id02447;2017-04;2018-03;Sozialhilfeleistung
id02447;2022-02;;Sozialhilfeleistung
id02743;2021-05;2021-11;Sozialhilfeleistung
id00608;2018-01;2018-03;Sozialhilfeleistung
id00426;2018-07;2019-06;Sozialhilfeleistung
id00426;2022-01;;Sozialhilfeleistung
id04084;2018-07;2018-07;Sozialhilfeleistung
id04084;2020-04;2021-02;Sozialhilfeleistung
id01006;2019-07;2020-01;Sozialhilfeleistung
id02240;2016-08;2017-09;Sozialhilfeleistung
id04808;2019-07;2021-12;Sozialhilfeleistung
id01735;2016-08;2017-04;Sozialhilfeleistung
id01017;2016-08;2017-06;Sozialhilfeleistung
id01017;2017-11;2017-12;Sozialhilfeleistung
id01066;2016-09;2021-02;Sozialhilfeleistung
id03000;2016-09;2018-04;Sozialhilfeleistung
id04232;2016-08;2016-11;Sozialhilfeleistung
id02551;2017-01;2017-10;Sozialhilfeleistung
id02325;2019-07;2021-12;Sozialhilfeleistung
id00270;2017-04;2017-05;Sozialhilfeleistung
id00127;2016-08;2016-12;Sozialhilfeleistung
id00127;2019-01;2021-12;Rückerstattung
id04568;2018-09;2018-12;Sozialhilfeleistung
id04568;2019-07;2020-02;Sozialhilfeleistung
id03729;2016-10;2017-01;Sozialhilfeleistung
id04506;2017-03;2017-12;Sozialhilfeleistung
id03648;2016-11;2017-10;Sozialhilfeleistung
id04812;2016-12;2018-07;Sozialhilfeleistung
id01579;2019-08;2019-09;Sozialhilfeleistung
id01579;2019-09;2021-04;Sozialhilfeleistung
id01579;2022-01;;Sozialhilfeleistung
id03442;2017-06;2021-01;Sozialhilfeleistung
id04602;2016-09;2017-01;Sozialhilfeleistung
id04602;2017-10;2018-09;Sozialhilfeleistung
id02022;2019-07;2021-12;Sozialhilfeleistung
id02755;2016-09;2017-01;Sozialhilfeleistung
id01385;2020-01;2021-01;Sozialhilfeleistung
id03339;2016-09;2016-12;Sozialhilfeleistung
id00407;2016-10;2016-11;Sozialhilfeleistung
id00407;2016-11;2018-03;Sozialhilfeleistung
id00407;2018-03;2018-09;Sozialhilfeleistung
id04582;2016-10;2017-12;Sozialhilfeleistung
id04582;2018-02;2018-09;Sozialhilfeleistung
id02777;2016-10;2017-01;Sozialhilfeleistung
id02777;2017-01;2019-06;Sozialhilfeleistung
id02777;2021-03;2021-07;Sozialhilfeleistung
id00122;2016-12;2017-10;Sozialhilfeleistung
id01691;2020-02;2021-03;Sozialhilfeleistung
id00441;2017-02;2017-12;Sozialhilfeleistung
id02656;2017-01;2017-03;Sozialhilfeleistung
id04388;2016-09;2017-03;Sozialhilfeleistung
id00261;2021-05;2021-12;Rückerstattung
id01169;2016-12;2017-04;Sozialhilfeleistung
id02689;2019-07;2021-12;Rückerstattung
id01003;2016-09;2017-05;Sozialhilfeleistung
id01003;2019-08;2020-03;Sozialhilfeleistung
id01003;2022-01;2022-04;Sozialhilfeleistung
id00653;2017-01;2017-03;Sozialhilfeleistung
id00653;2018-01;2019-08;Sozialhilfeleistung
id01630;2016-12;2017-08;Sozialhilfeleistung
id03898;2019-07;2021-12;Sozialhilfeleistung
id01674;2016-11;2017-10;Sozialhilfeleistung
id00760;2019-03;2019-08;Sozialhilfeleistung
id03320;2016-11;2017-02;Sozialhilfeleistung
id01400;2016-10;2017-04;Sozialhilfeleistung
id01400;2022-01;;Sozialhilfeleistung
id02167;2017-01;2017-12;Sozialhilfeleistung
id02167;2018-10;2019-06;Sozialhilfeleistung
id02167;2019-07;2020-10;Sozialhilfeleistung
id03165;2018-01;2018-05;Sozialhilfeleistung
id03165;2022-01;;Sozialhilfeleistung
id00861;2017-02;2018-01;Sozialhilfeleistung
id03265;2017-10;2018-06;Sozialhilfeleistung
id02104;2016-11;2017-09;Sozialhilfeleistung
id00462;2017-10;2017-10;Sozialhilfeleistung
id01265;2017-02;2017-11;Sozialhilfeleistung
id00647;2021-04;2021-07;Sozialhilfeleistung
id00647;2021-08;2021-12;Sozialhilfeleistung
id03061;2020-02;2020-12;Sozialhilfeleistung
id01215;2016-12;2017-02;Sozialhilfeleistung
id01215;2017-02;2020-01;Sozialhilfeleistung
id02021;2018-06;2021-12;Sozialhilfeleistung
id04061;2016-10;2017-02;Sozialhilfeleistung
id00027;2016-11;2021-01;Sozialhilfeleistung
id00027;2022-01;;Sozialhilfeleistung
id01882;2016-11;2017-02;Sozialhilfeleistung
id04375;2016-11;2017-03;Sozialhilfeleistung
id04375;2017-03;2017-04;Sozialhilfeleistung
id04375;2017-04;2018-01;Sozialhilfeleistung
id02913;2018-07;2019-01;Sozialhilfeleistung
id02683;2016-11;2016-11;Sozialhilfeleistung
id00943;2016-11;2016-12;Sozialhilfeleistung
id04031;2017-07;2018-01;Sozialhilfeleistung
id04031;2018-08;2019-06;Sozialhilfeleistung
id04031;2019-07;2019-09;Sozialhilfeleistung
id02969;2016-12;2018-02;Sozialhilfeleistung
id02969;2022-01;;Sozialhilfeleistung
id00619;2017-04;2018-05;Sozialhilfeleistung
id00619;2022-01;;Sozialhilfeleistung
id01969;2016-12;2017-01;Sozialhilfeleistung
id02440;2017-03;2020-07;Sozialhilfeleistung
id02998;2020-07;2021-12;Sozialhilfeleistung
id00949;2016-11;2017-01;Sozialhilfeleistung
id00949;2018-07;2019-09;Sozialhilfeleistung
id00949;2019-10;2020-06;Sozialhilfeleistung
id04821;2020-08;2021-07;Sozialhilfeleistung
id02279;2017-09;2018-05;Sozialhilfeleistung
id04747;2018-11;2019-05;Sozialhilfeleistung
id04747;2020-08;2021-08;Sozialhilfeleistung
id04747;2022-01;;Sozialhilfeleistung
id04179;2016-11;2017-02;Sozialhilfeleistung
id04820;2017-01;2017-05;Sozialhilfeleistung
id04018;2016-12;2018-05;Sozialhilfeleistung
id00714;2016-12;2017-03;Sozialhilfeleistung
id00714;2022-01;;Sozialhilfeleistung
id04864;2022-01;;Sozialhilfeleistung
id02927;2017-01;2017-03;Sozialhilfeleistung
id04913;2016-11;2017-07;Sozialhilfeleistung
id03500;2016-11;2017-03;Sozialhilfeleistung
id03500;2017-03;2019-04;Sozialhilfeleistung
id00856;2017-05;2017-12;Sozialhilfeleistung
id02607;2016-11;2017-03;Sozialhilfeleistung
id01649;2018-06;2019-02;Sozialhilfeleistung
id00232;2016-12;2017-04;Sozialhilfeleistung
id02850;2020-03;2020-11;Sozialhilfeleistung
id02850;2021-01;2021-04;Sozialhilfeleistung
id02850;2021-04;2021-06;Sozialhilfeleistung
id00520;2017-02;2017-03;Sozialhilfeleistung
id03702;2017-05;2019-06;Sozialhilfeleistung
id03721;2018-03;2018-10;Sozialhilfeleistung
id00958;2016-12;2017-04;Sozialhilfeleistung
id01415;2017-04;2017-12;Sozialhilfeleistung
id01415;2019-02;2019-04;Sozialhilfeleistung
id00302;2017-04;2021-03;Sozialhilfeleistung
id04901;2017-03;2017-04;Sozialhilfeleistung
id04901;2017-04;2019-06;Sozialhilfeleistung
id04901;2019-07;2020-11;Sozialhilfeleistung
id00688;2017-01;2017-04;Sozialhilfeleistung
id00688;2017-04;2018-12;Sozialhilfeleistung
id03457;2017-02;2017-04;Sozialhilfeleistung
id01033;2017-01;2017-01;Sozialhilfeleistung
id01033;2017-02;2017-06;Sozialhilfeleistung
id01033;2018-04;2018-12;Sozialhilfeleistung
id01033;2019-02;2019-12;Sozialhilfeleistung
id01033;2020-02;2020-04;Sozialhilfeleistung
id01696;2020-08;2021-12;Sozialhilfeleistung
id01696;2022-01;2022-01;Sozialhilfeleistung
id02982;2018-01;2018-03;Sozialhilfeleistung
id00389;2019-07;2020-03;Sozialhilfeleistung
id04258;2017-12;2019-06;Sozialhilfeleistung
id01771;2017-04;2019-06;Sozialhilfeleistung
id03743;2018-06;2019-12;Sozialhilfeleistung
id04372;2019-07;2021-12;Sozialhilfeleistung
id03263;2022-01;;Sozialhilfeleistung
id02515;2017-06;2018-01;Sozialhilfeleistung
id04157;2017-03;2017-04;Sozialhilfeleistung
id04157;2017-04;2019-06;Sozialhilfeleistung
id00472;2017-10;2017-11;Sozialhilfeleistung
id00121;2017-04;2018-01;Sozialhilfeleistung
id02157;2017-02;2017-04;Sozialhilfeleistung
id04429;2017-12;2018-06;Sozialhilfeleistung
id04786;2017-03;2017-05;Sozialhilfeleistung
id04786;2020-02;2020-04;Sozialhilfeleistung
id04180;2020-09;2021-04;Sozialhilfeleistung
id04533;2017-05;2018-09;Sozialhilfeleistung
id01020;2018-01;2018-02;Sozialhilfeleistung
id01925;2017-08;2017-08;Sozialhilfeleistung
id01925;2018-10;2018-12;Sozialhilfeleistung
id04933;2017-04;2017-06;Sozialhilfeleistung
id00088;2017-06;2017-09;Sozialhilfeleistung
id03064;2017-12;2018-04;Sozialhilfeleistung
id00341;2017-04;2017-07;Sozialhilfeleistung
id00341;2018-01;2018-06;Sozialhilfeleistung
id00341;2020-04;2020-12;Sozialhilfeleistung
id03470;2017-03;2017-06;Sozialhilfeleistung
id00292;2017-07;2019-06;Sozialhilfeleistung
id00292;2022-01;;Sozialhilfeleistung
id02342;2017-08;2021-12;Sozialhilfeleistung
id03973;2017-03;2017-04;Sozialhilfeleistung
id02922;2017-06;2017-12;Sozialhilfeleistung
id02922;2018-01;2020-05;Sozialhilfeleistung
id02922;2022-01;;Sozialhilfeleistung
id01326;2017-04;2017-06;Sozialhilfeleistung
id00722;2017-04;2018-01;Sozialhilfeleistung
id00571;2017-06;2017-06;Sozialhilfeleistung
id00571;2019-07;2021-12;Sozialhilfeleistung
id04676;2017-12;2017-12;Sozialhilfeleistung
id04676;2018-01;2019-02;Sozialhilfeleistung
id03554;2018-02;2018-04;Sozialhilfeleistung
id04736;2017-04;2017-05;Sozialhilfeleistung
id02091;2017-07;2018-02;Sozialhilfeleistung
id01838;2017-04;2018-01;Sozialhilfeleistung
id04519;2017-10;2018-06;Sozialhilfeleistung
id02162;2018-07;2019-03;Sozialhilfeleistung
id00349;2017-09;2018-04;Sozialhilfeleistung
id00596;2017-04;2017-07;Sozialhilfeleistung
id01268;2017-04;2017-10;Sozialhilfeleistung
id04946;2017-04;2017-08;Sozialhilfeleistung
id00205;2018-07;2020-01;Sozialhilfeleistung
id00205;2020-01;2020-12;Sozialhilfeleistung
id03977;2017-08;2017-12;Sozialhilfeleistung
id03977;2018-07;2018-07;Sozialhilfeleistung
id01352;2017-10;2019-06;Sozialhilfeleistung
id03046;2017-09;2018-09;Sozialhilfeleistung
id03594;2017-08;2019-06;Sozialhilfeleistung
id01733;2019-07;2021-12;Sozialhilfeleistung
id00395;2017-03;2018-04;Sozialhilfeleistung
id03397;2018-03;2019-08;Sozialhilfeleistung
id02339;2017-04;2017-09;Sozialhilfeleistung
id04357;2018-01;2019-07;Sozialhilfeleistung
id04357;2020-06;2021-04;Sozialhilfeleistung
id00411;2020-06;2020-11;Sozialhilfeleistung
id03797;2017-09;2019-06;Sozialhilfeleistung
id00801;2022-02;;Sozialhilfeleistung
id01993;2017-05;2017-08;Sozialhilfeleistung
id03202;2017-10;2018-06;Sozialhilfeleistung
id04036;2018-01;2019-04;Sozialhilfeleistung
id01224;2017-07;2018-11;Sozialhilfeleistung
id01806;2020-01;2020-12;Sozialhilfeleistung
id01806;2021-01;2021-03;Sozialhilfeleistung
id02221;2017-10;2019-02;Sozialhilfeleistung
id00848;2018-07;2019-06;Sozialhilfeleistung
id01210;2018-01;2018-12;Sozialhilfeleistung
id02767;2017-06;2017-10;Sozialhilfeleistung
id03730;2018-02;2019-06;Sozialhilfeleistung
id00855;2017-06;2018-02;Sozialhilfeleistung
id00549;2017-06;2018-09;Sozialhilfeleistung
id02144;2020-04;2020-12;Sozialhilfeleistung
id02144;2022-03;;Sozialhilfeleistung
id01776;2022-01;;Sozialhilfeleistung
id01058;2021-06;2021-10;Sozialhilfeleistung
id03440;2022-01;;Sozialhilfeleistung
id02094;2019-04;2019-06;Sozialhilfeleistung
id01214;2013-08;2016-12;Sozialhilfeleistung
id02700;2021-02;2021-07;Sozialhilfeleistung
id02700;2021-08;2021-12;Sozialhilfeleistung
id04848;2017-01;2017-12;Sozialhilfeleistung
id04530;2019-09;2021-04;Sozialhilfeleistung
id02174;2019-02;2019-02;Sozialhilfeleistung
id04449;2022-01;;Sozialhilfeleistung
id01668;2022-01;;Sozialhilfeleistung
id04427;2019-01;2019-06;Sozialhilfeleistung
id02401;2015-01;2016-01;Sozialhilfeleistung
id03965;2015-01;2016-01;Sozialhilfeleistung
id02080;2016-11;2017-05;Sozialhilfeleistung
id02080;2022-01;2022-01;Sozialhilfeleistung
id04481;2021-05;2021-08;Sozialhilfeleistung
id03770;2015-09;2016-01;Sozialhilfeleistung
id03770;2016-01;2016-11;Sozialhilfeleistung
id00637;2019-07;2020-11;Sozialhilfeleistung
id03716;2017-08;2017-10;Sozialhilfeleistung
id02794;2016-03;2017-07;Sozialhilfeleistung
id02794;2018-02;2019-06;Sozialhilfeleistung
id02794;2019-07;2020-10;Sozialhilfeleistung
id02794;2022-01;;Sozialhilfeleistung
id00432;2016-03;2016-04;Sozialhilfeleistung
id00980;2014-06;2016-11;Sozialhilfeleistung
id01272;2018-01;2018-01;Sozialhilfeleistung
id01864;2015-06;2016-09;Sozialhilfeleistung
id01864;2020-06;2021-03;Sozialhilfeleistung
id01125;2015-09;2016-07;Rückerstattung
id00738;2019-01;2019-10;Sozialhilfeleistung
id04257;2014-09;2021-10;Sozialhilfeleistung
id02406;2014-05;2020-10;Sozialhilfeleistung
id02406;2020-12;2021-11;Sozialhilfeleistung
id04352;2019-07;2021-12;Sozialhilfeleistung
id03502;2017-12;2018-04;Sozialhilfeleistung
id03502;2018-05;2018-10;Sozialhilfeleistung
id04015;2017-04;2018-07;Sozialhilfeleistung
id01616;2018-09;2018-09;Sozialhilfeleistung
id00464;2016-12;2020-03;Sozialhilfeleistung
id04729;2021-02;2021-06;Sozialhilfeleistung
id00703;2016-11;2016-12;Sozialhilfeleistung
id01658;2019-07;2021-12;Sozialhilfeleistung
id01658;2022-01;;Sozialhilfeleistung
id02189;2014-08;2016-01;Sozialhilfeleistung
id04231;2016-09;2018-03;Sozialhilfeleistung
id02520;2016-03;2017-09;Sozialhilfeleistung
id00149;2021-02;2021-12;Sozialhilfeleistung
id01111;2015-06;2016-09;Sozialhilfeleistung
id01111;2020-06;2021-12;Sozialhilfeleistung
id00103;2016-04;2017-01;Sozialhilfeleistung
id02194;2018-02;2018-05;Sozialhilfeleistung
id01350;2016-03;2016-04;Sozialhilfeleistung
id01350;2016-04;2016-08;Sozialhilfeleistung
id01350;2016-09;2017-07;Sozialhilfeleistung
id00423;2018-01;2018-06;Sozialhilfeleistung
id00423;2019-01;2019-06;Sozialhilfeleistung
id00423;2019-07;2021-01;Sozialhilfeleistung
id00450;2015-08;2016-05;Sozialhilfeleistung
id01284;2019-05;2021-07;Sozialhilfeleistung
id02215;2018-01;2019-12;Sozialhilfeleistung
id01016;2015-03;2017-01;Sozialhilfeleistung
id01016;2019-10;2021-08;Sozialhilfeleistung
id01016;2022-01;;Sozialhilfeleistung
id04915;2021-01;2021-03;Sozialhilfeleistung
id04181;2018-01;2018-01;Sozialhilfeleistung
id02494;2018-01;2019-03;Sozialhilfeleistung
id02494;2020-01;2020-08;Sozialhilfeleistung
id01872;2015-01;2016-09;Sozialhilfeleistung
id01475;2015-06;2016-11;Sozialhilfeleistung
id00685;2020-06;2021-12;Sozialhilfeleistung
id04480;2014-12;2016-06;Sozialhilfeleistung
