id;Dossier structure;Dossier type;Product of last dossier version;Personal household (support unit);Persons in household total;Person category;Marital status;Nationality categories;In CH since birth;Age categories;Employment situation;Degree of employment;Part-time reason;Highest completed education;Trained profession category;last job category
id04518;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;Arbeit auf Abruf;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;obligatorische Schule;kein | keine;Schutzkräfte und Sicherheitsbedienstete
id02105;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
id01329;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;verheiratet;Schweiz;TRUE;26-35;;;;obligatorische Schule;kein | keine;Berufe im Bereich personenbezogener Dienstleistungen
id00534;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;FALSE;26-35;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Berufe im Bereich personenbezogener Dienstleistungen;Elektriker und Elektroniker
id00357;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (>3);Alleinstehend;ledig;Schweiz;TRUE;26-35;Arbeit auf Abruf;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;obligatorische Schule;kein | keine;Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen
id01901;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe
id02886;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;verheiratet;Schweiz;TRUE;46-55;Angestellt, regelmässig;Eine Teilzeitstelle (bis 49%);Krankheit;Berufslehre/-schule;Spezialisten in Gesundheitsberufen;Spezialisten in Gesundheitsberufen
id02159;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Schweiz;TRUE;56-65;Rentner/in;;;Berufslehre/-schule;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;kein | keine
id02688;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;26-35;ohne Arbeit, beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
id03626;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;36-45;;;;Anlehre;Berufe im Bereich personenbezogener Dienstleistungen;Hilfskräfte in der Nahrungsmittelzubereitung
id03509;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;26-35;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Berufe im Bereich personenbezogener Dienstleistungen
id02109;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Schweiz;TRUE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
id02195;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;FALSE;26-35;;;;Anlehre;Fachkräfte in der Landwirtschaft;Fachkräfte in der Landwirtschaft
id01880;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
id03930;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;FALSE;26-35;in Ausbildung (ohne Lehrlinge);;;Berufslehre/-schule;Allgemeine Büro- und Sekretariatskräfte;Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte
id00037;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;36-45;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Fachkräfte in der Landwirtschaft;Fachkräfte in der Landwirtschaft
id03926;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;26-35;Angestellt, regelmässig;Vollzeit(90+);;Berufslehre/-schule;Naturwissenschaftler, Mathematiker und Ingenieure;Naturwissenschaftler, Mathematiker und Ingenieure
id02749;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;TRUE;26-35;Haushalt, familiäre Gründe;;;obligatorische Schule;kein | keine;Verkaufskräfte
id00103;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;Dauerinvalidität;;;Maturität, Berufsmatura, Diplommittelschule;kein | keine;kein | keine
id01482;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;46-55;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Montageberufe
id02916;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;26-35;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
id02615;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Assistenzberufe im Gesundheitswesen;Ingenieurtechnische und vergleichbare Fachkräfte
id01477;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;TRUE;36-45;Angestellt, regelmässig;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;Berufslehre/-schule;Allgemeine Büro- und Sekretariatskräfte;Allgemeine Büro- und Sekretariatskräfte
id01500;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
id03256;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;36-45;vorübergehend arbeitsunfähig;;;Universität/Hochschule/Fachhochschule;Betriebswirte und vergleichbare Spezialisten;Betriebswirte und vergleichbare Spezialisten
id03717;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;18-25;Dauerinvalidität;;;obligatorische Schule;kein | keine;kein | keine
id03295;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;36-45;ohne Arbeit, beim Arbeitsamt gemeldet;;;Berufslehre/-schule;kein | keine;Allgemeine Büro- und Sekretariatskräfte
id03590;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Verkaufskräfte
id04152;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;FALSE;56-65;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Betreuungsberufe;Betreuungsberufe
id00870;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Schweiz;TRUE;56-65;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id00305;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Schweiz;FALSE;46-55;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Metallarbeiter, Mechaniker, Polymechaniker, Produktionsmechaniker und verwandte Berufe;Bediener stationärer Anlagen und Maschinen
id00555;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Berufe im Bereich personenbezogener Dienstleistungen
id01480;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;geschieden;Schweiz;TRUE;56-65;Arbeit auf Abruf;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;Berufslehre/-schule;Hilfskräfte in der Nahrungsmittelzubereitung;Betreuungsberufe
id03576;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (>3);Alleinstehend;ledig;Schweiz;TRUE;26-35;Arbeit auf Abruf;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;Anlehre;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Verkaufskräfte
id04571;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Schweiz;TRUE;46-55;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id03053;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;geschieden;Schweiz;FALSE;56-65;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft
id00731;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;FALSE;26-35;;;;;kein | keine;kein | keine
id02135;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;FALSE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Führungskräfte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen
id04626;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;18-25;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;kein | keine
id01431;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;FALSE;26-35;Angestellt, regelmässig;;;obligatorische Schule;kein | keine;Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen
id02072;Sozialhilfe;Inländer/innen;Rückerstattung;1;Einzelhaushalt;Alleinstehend;geschieden;Schweiz;TRUE;56-65;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Betriebswirte und vergleichbare Spezialisten;Betriebswirte und vergleichbare Spezialisten
id02518;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Betreuungsberufe;
id01364;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id03200;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;geschieden;Schweiz;TRUE;46-55;ohne Arbeit, beim Arbeitsamt gemeldet;;;Maturität, Berufsmatura, Diplommittelschule;Allgemeine Büro- und Sekretariatskräfte;Allgemeine Büro- und Sekretariatskräfte
id01630;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;geschieden;Schweiz;TRUE;56-65;Selbstständig;Eine Teilzeitstelle (bis 49%);Krankheit;höhere Fach- und Berufsausbildung;Juristische, soziale, kulturelle und verwandte Fachkräfte;Juristen, Sozialwissenschaftler und Kulturberufe
id00925;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;Angestellt, regelmässig;Vollzeit(90+);;Berufslehre/-schule;Allgemeine Büro- und Sekretariatskräfte;Allgemeine Büro- und Sekretariatskräfte
id03973;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Schweiz;FALSE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Fahrzeugführer und Bediener mobiler Anlagen
id04519;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;36-45;ohne Arbeit, beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Berufe im Bereich personenbezogener Dienstleistungen;Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen
id03416;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;kein | keine
id02875;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Schweiz;FALSE;36-45;Angestellt, regelmässig;Eine Teilzeitstelle (bis 49%);Haushalt, familiäre Gründe;obligatorische Schule;kein | keine;Verkaufskräfte
id00577;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;FALSE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Elektriker und Elektroniker;Elektriker und Elektroniker
id01993;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;FALSE;26-35;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Spezialisten in der Informations- und Kommunikationstechnologie
id03927;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;kein | keine
id02142;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;36-45;ohne Arbeit, beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Allgemeine Büro- und Sekretariatskräfte;Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft
id00821;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;verheiratet;Schweiz;TRUE;26-35;Haushalt, familiäre Gründe;;;Berufslehre/-schule;Berufe im Bereich personenbezogener Dienstleistungen;Berufe im Bereich personenbezogener Dienstleistungen
id01358;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;FALSE;18-25;ohne Arbeit, beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;kein | keine
id00662;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (>3);Alleinstehend;geschieden;Schweiz;TRUE;56-65;Rentner/in;;;höhere Fach- und Berufsausbildung;Spezialisten in der Informations- und Kommunikationstechnologie;Spezialisten in der Informations- und Kommunikationstechnologie
id03343;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Schweiz;TRUE;36-45;vorübergehend arbeitsunfähig;;;obligatorische Schule;Bediener stationärer Anlagen und Maschinen;Bediener stationärer Anlagen und Maschinen
id02921;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;26-35;Arbeit auf Abruf;Eine Teilzeitstelle (50-89%);keine Vollzeitstelle;Berufslehre/-schule;Fachkräfte in der Landwirtschaft;Reinigungspersonal und Hilfskräfte
id01713;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;36-45;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Berufe im Bereich personenbezogener Dienstleistungen;Berufe im Bereich personenbezogener Dienstleistungen
id04548;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Hilfskräfte in der Nahrungsmittelzubereitung
id04384;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;18-25;in der Lehre;Vollzeit(90+);;obligatorische Schule;kein | keine;Betreuungsberufe
id04413;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;Schweiz;TRUE;46-55;ohne Arbeit, beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Verkaufskräfte;Reinigungspersonal und Hilfskräfte
id03296;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;geschieden;Schweiz;FALSE;56-65;ohne Arbeit, beim Arbeitsamt gemeldet;;;höhere Fach- und Berufsausbildung;Juristische, soziale, kulturelle und verwandte Fachkräfte;Juristische, soziale, kulturelle und verwandte Fachkräfte
id00040;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;ohne Arbeit, beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Fachkräfte in der Landwirtschaft;Fachkräfte in der Landwirtschaft
id02056;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;in Ausbildung (ohne Lehrlinge);;;Maturität, Berufsmatura, Diplommittelschule;kein | keine;Allgemeine Büro- und Sekretariatskräfte
id00359;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;geschieden;Schweiz;FALSE;36-45;ohne Arbeit, beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Betreuungsberufe
id03822;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;FALSE;46-55;ohne Arbeit, beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Berufe im Bereich personenbezogener Dienstleistungen;Betreuungsberufe
id01312;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;TRUE;26-35;Haushalt, familiäre Gründe;;;Berufslehre/-schule;Verkaufskräfte;Verkaufskräfte
id01365;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;verheiratet;Schweiz;TRUE;26-35;in Ausbildung (ohne Lehrlinge);;;Schulbesuch weniger als 7 Jahre;Allgemeine Büro- und Sekretariatskräfte;Betreuungsberufe
id00761;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Allgemeine Büro- und Sekretariatskräfte;Allgemeine Büro- und Sekretariatskräfte
id02676;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Bürokräfte mit Kundenkontakt
id03611;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;FALSE;56-65;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id03170;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;geschieden;Schweiz;TRUE;56-65;anderes (auf Arbeitssuche);;;Berufslehre/-schule;Verkaufskräfte;Berufe im Bereich personenbezogener Dienstleistungen
id00837;Sozialhilfe;Inländer/innen;Rückerstattung;1;Einzelhaushalt;Alleinstehend;geschieden;Schweiz;TRUE;56-65;vorübergehend arbeitsunfähig;;;Schulbesuch weniger als 7 Jahre;kein | keine;kein | keine
id04611;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;TRUE;26-35;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;Sonstige Bürokräfte und verwandte Berufe
id02434;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;verheiratet;Schweiz;TRUE;26-35;ohne Arbeit, beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id04783;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Betreuungsberufe;Betreuungsberufe
id02536;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;geschieden;Schweiz;TRUE;56-65;Dauerinvalidität;;;Berufslehre/-schule;Führungskräfte in der Produktion und bei spezialisierten Dienstleistungen;Spezialisten in Gesundheitsberufen
id00918;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Schweiz;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Berufe im Bereich personenbezogener Dienstleistungen
id02167;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;18-25;in Ausbildung (ohne Lehrlinge);;;Maturität, Berufsmatura, Diplommittelschule;kein | keine;kein | keine
id04927;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;FALSE;26-35;ohne Arbeit, beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Ingenieurtechnische und vergleichbare Fachkräfte;Reinigungspersonal und Hilfskräfte
id02574;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;verheiratet;Schweiz;FALSE;56-65;;;;obligatorische Schule;kein | keine;kein | keine
id03789;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;56-65;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Betreuungsberufe
id04490;Sozialhilfe;Inländer/innen;Rückerstattung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Anlehre;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;kein | keine
id04608;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;TRUE;26-35;Angestellt, regelmässig;Eine Teilzeitstelle (50-89%);Haushalt, familiäre Gründe;Berufslehre/-schule;Spezialisten in Gesundheitsberufen;Spezialisten in Gesundheitsberufen
id01464;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;18-25;;;;obligatorische Schule;kein | keine;kein | keine
id04486;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;Schweiz;TRUE;18-25;ohne Arbeit, beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Bürokräfte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft
id00570;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;46-55;Selbstständig;Vollzeit(90+);;höhere Fach- und Berufsausbildung;Naturwissenschaftler, Mathematiker und Ingenieure;Betriebswirte und vergleichbare Spezialisten
id03630;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;36-45;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id01008;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;Schweiz;TRUE;56-65;Rentner/in;;;Berufslehre/-schule;;
id00684;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;ledig;Schweiz;TRUE;46-55;;;;Berufslehre/-schule;Allgemeine Büro- und Sekretariatskräfte;Allgemeine Büro- und Sekretariatskräfte
id02124;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;geschieden;Schweiz;TRUE;36-45;Dauerinvalidität;;;Anlehre;kein | keine;kein | keine
id04873;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;FALSE;26-35;;;;;;
id04854;Sozialhilfe;Inländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;Schweiz;TRUE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Bürokräfte mit Kundenkontakt;Hilfskräfte in der Nahrungsmittelzubereitung
